NCL Function,Description,Python Equivalent,Notes
`sin <https://www.ncl.ucar.edu/Document/Functions/Built-in/sin.shtml>`__,"Computes the sine of numeric types","``math.sin()`` or ``numpy.sin()``",`example notebook <../ncl_entries/trigonometric_functions.ipynb#sin>`__
`cos <https://www.ncl.ucar.edu/Document/Functions/Built-in/cos.shtml>`__,"Computes the cosine of numeric types","``math.cos()`` or ``numpy.cos()``",`example notebook <../ncl_entries/trigonometric_functions.ipynb#cos>`__
`tan <https://www.ncl.ucar.edu/Document/Functions/Built-in/tan.shtml>`__,"Computes the tangent of numeric types","``math.tan()`` or ``numpy.tan()``",`example notebook <../ncl_entries/trigonometric_functions.ipynb#tan>`__
`asin <https://www.ncl.ucar.edu/Document/Functions/Built-in/asin.shtml>`__,"Computes the inverse sine of numeric types","``math.asin()`` or ``numpy.arcsin()``",`example notebook <../ncl_entries/trigonometric_functions.ipynb#asin>`__
`acos <https://www.ncl.ucar.edu/Document/Functions/Built-in/acos.shtml>`__,"Computes the inverse cosine of numeric types","``math.acos()`` or ``numpy.arccos()``",`example notebook <../ncl_entries/trigonometric_functions.ipynb#acos>`__
`atan <https://www.ncl.ucar.edu/Document/Functions/Built-in/atan.shtml>`__,"Computes the inverse cosine of numeric types","``math.atan()`` or ``numpy.arctan()``",`example notebook <../ncl_entries/trigonometric_functions.ipynb#atan>`__
`atan2 <https://www.ncl.ucar.edu/Document/Functions/Built-in/atan2.shtml>`__,"Computes the inverse tangent of (y/x) for numeric types","``math.atan2()`` or ``numpy.arctan2()``",`example notebook <../ncl_entries/trigonometric_functions.ipynb#atan2>`__
`cosh <https://www.ncl.ucar.edu/Document/Functions/Built-in/cosh.shtml>`__,"Computes the hyperbolic cosine of numeric types","``math.cosh()`` or ``numpy.cosh()``",`example notebook <../ncl_entries/trigonometric_functions.ipynb#cosh>`__
`sinh <https://www.ncl.ucar.edu/Document/Functions/Built-in/sinh.shtml>`__,"Computes the hyperbolic sine of numeric types","``math.sinh()`` or ``numpy.sinh()``",`example notebook <../ncl_entries/trigonometric_functions.ipynb#sinh>`__
`tanh <https://www.ncl.ucar.edu/Document/Functions/Built-in/tanh.shtml>`__,"Computes the hyperbolic tangent of numeric types","``math.tanh()`` or ``numpy.tanh()``",`example notebook <../ncl_entries/trigonometric_functions.ipynb#tanh>`__
`days_in_month <https://www.ncl.ucar.edu/Document/Functions/Built-in/days_in_month.shtml>`__,"Calculates the number of days in a month given month and year","``cftime.datetime().daysinmonth``",`details <../ncl_entries/days_in_month.ipynb>`__
`day_of_week <https://www.ncl.ucar.edu/Document/Functions/Built-in/day_of_week.shtml>`__,"Calculates the day of the week given month, day, and year","``cftime.datetime().dayofwk``",`details <../ncl_entries/day_of_week.ipynb>`__
`gc_aangle <https://www.ncl.ucar.edu/Document/Functions/Built-in/gc_aangle.shtml>`__,"Finds the acute angle between two great circles on the globe","````",`Example Notebook <../ncl_entries/great_circle_functions.ipynb#gc-aangle>`__
`gc_clkwise <https://www.ncl.ucar.edu/Document/Functions/Built-in/gc_clkwise.shtml>`__,"Tests clockwise/counterclockwise ordering of points on spherical polygon","````",`Example Notebook <../ncl_entries/great_circle_functions.ipynb#gc-clkwise>`__
`gc_dangle <https://www.ncl.ucar.edu/Document/Functions/Built-in/gc_dangle.shtml>`__,"Finds the directed angle between two great circles having a specified intersection point","````",`Example Notebook <../ncl_entries/great_circle_functions.ipynb#gc-dangle>`__
`gc_inout <https://www.ncl.ucar.edu/Document/Functions/Built-in/gc_inout.shtml>`__,"Determines if a list of lat/lon specified points are inside or outside of spherical lat/lon polygon(s)","````",`Example Notebook <../ncl_entries/great_circle_functions.ipynb#gc-inout>`__
`gc_latlon <https://www.ncl.ucar.edu/Document/Functions/Built-in/gc_latlon.shtml>`__,"Finds the great circle distance (true surface distance) between two points on the globe and interpolates points along the great circle","````",`Example Notebook <../ncl_entries/great_circle_functions.ipynb#gc-inout>`__
`gc_onarc <https://www.ncl.ucar.edu/Document/Functions/Built-in/gc_onarc.shtml>`__,"Determines if a point on the globe lies on a specified great circle arc","````",`Example Notebook <../ncl_entries/great_circle_functions.ipynb#gc-onarc>`__
`gc_pnt2gc <https://www.ncl.ucar.edu/Document/Functions/Built-in/gc_pnt2gc.shtml>`__,"Finds the angular distance from a point to a great circle","````",`Example Notebook <../ncl_entries/great_circle_functions.ipynb#gc-pnt2gc>`__
`gc_qarea <https://www.ncl.ucar.edu/Document/Functions/Built-in/gc_qarea.shtml>`__,"Finds the area of a quadrilateral patch on the unit sphere","````",`Example Notebook <../ncl_entries/great_circle_functions.ipynb#gc-qarea>`__
`gc_tarea <https://www.ncl.ucar.edu/Document/Functions/Built-in/gc_tarea.shtml>`__,"Finds the area of a triangular patch on the unit sphere","````",`Example Notebook <../ncl_entries/great_circle_functions.ipynb#gc-tarea>`__
